techno;name;environment;selectors;min;max;patterns;type;classification
;;;;;;;;

Java;Apache Flume;import;;;;org.apache.flume;pattern;
Java;Apache Commons IO;import;;;;org.apache.commons.io;pattern;
Java;JRuleEngine;import;;;;org.jruleengine;pattern;
Java;Apache Axis;import;;;;org.apache.axis2;pattern;
Java;JSyn;import;;;;com.jsyn;pattern;
Java;DropWizard Jersey;import;;;;io.dropwizard;pattern;
Java;Java.io;import;;;;java.io;pattern;
Java;Apache OpenNLP;import;;;;org.apache.opennlp;pattern;
Java;HK2;import;;;;org.glassfish.hk2;pattern;
Java;Apache Cocoon;import;;;;org.apache.cocoon;pattern;
Java;Apache Xerces;import;;;;org.apache.xerces;pattern;
Java;Akka;import;;;;com.typesafe.akka;pattern;
Java;Deeplearning4j;import;;;;org.deeplearning4j;pattern;
Java;Spring Integration;import;;;;org.springframework.integration;pattern;
Java;Selenium;import;;;;org.openqa.selenium;pattern;
Java;Apache River (Jini);import;;;;org.apache.river;pattern;
Java;Apache Pivot;import;;;;org.apache.pivot;pattern;
Java;Java Text Categorizing Library (JTCL);import;;;;tcl.lang;pattern;
Java;Spring XD;import;;;;org.springframework.xd;pattern;
Java;SonarLint;import;;;;org.sonarsource.sonarlint;pattern;
Java;MapDB;import;;;;org.mapdb;pattern;
Java;Eclipse Scout;import;;;;org.eclipse.scout;pattern;
Java;Apache Avalon;import;;;;org.apache.avalon;pattern;
Java;Apache Turbine;import;;;;org.apache.turbine;pattern;
Java;SonarQube;import;;;;org.sonar;pattern;
Java;JsonLib;import;;;;net.sf.json;pattern;
Java;Apache Mahout;import;;;;org.apache.mahout;pattern;
Java;WSO2 ESB;import;;;;org.wso2.carbon.esb;pattern;
Java;FreeHEP;import;;;;hep.physics;pattern;
Java;Jello;import;;;;com.uniformlyrandom;pattern;
Java;JCabi;import;;;;com.jcabi;pattern;
Java;Apache Uima;import;;;;org.apache.uima;pattern;
Java;RestFB;import;;;;com.restfb;pattern;
Java;Apache VXQuery;import;;;;org.apache.vxquery;pattern;
Java;Activiti;import;;;;org.activiti;pattern;
Java;Apache Tomcat;import;;;;org.apache.tomcat;pattern;
Java;JGraphT;import;;;;org.jgrapht;pattern;
Java;LogBack;import;;;;ch.qos.logback;pattern;
Java;Xuggler;import;;;;com.xuggle;pattern;
Java;Neuroph;import;;;;org.neuroph;pattern;
Java;Apache Tika;import;;;;org.apache.tika;pattern;
Java;Java.net;import;;;;java.net;pattern;
Java;GStreamer;import;;;;org.gstreamer;pattern;
Java;Java Media Framework;import;;;;javax.media;pattern;
Java;Quartz;import;;;;org.quartz;pattern;
Java;fleXive;import;;;;com.flexive;pattern;
Java;JDom;import;;;;org.jdom2;pattern;
Java;LWJGL;import;;;;org.lwjgl;pattern;
Java;Docx4j;import;;;;org.docx4j;pattern;
Java;Spring Social;import;;;;org.springframework.social;pattern;
Java;LoopJ;import;;;;com.loopj;pattern;
Java;Facebook4j;import;;;;org.facebook4j;pattern;
Java;Apache Storm;import;;;;org.apache.storm;pattern;
Java;Dagger2;import;;;;dagger;pattern;
Java;Jess;import;;;;jess;pattern;
Java;Jppf;import;;;;org.jppf;pattern;
